class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity
0,358337205,10.4324,5351,0.833051,0.512599
0,52194662,6.376,4945.26,0.614933,0.203755
0,144277323,7.8278,5363.36,0.820154,0.501457
1,361413119,10.1126,5964,2.43038,7.719423447
1,334305570,9.3712,6187.29,1.60283,3.889222354
1,9006668,9.926601,5029,0.766028,0.387705348
0,55501315,6.8991,6618,1.79861,5.59085
0,231459697,11.2684,3373,0.267203,0.00832612
1,229111835,12.9317,4130,0.743443,0.166104547
1,47384844,8.72924,6203,1.38126,2.917722305
0,370136983,8.443,5435.6,0.944627,0.701787
0,403799988,7.9591,4694,0.700805,0.214813
0,471015557,5.458,3676.32,0.397577,0.026013
0,340006623,9.91,4614,0.714273,0.208321
1,100097716,11.3534,5767,1.41243,2.279395217
0,294153481,9.1228,4498,0.695199,0.178234
0,380436947,10.9945,3444,0.396681,0.0199448
0,237923988,9.704,4632,0.705054,0.206164
0,434138790,7.936,4319.4,0.741067,0.172228
1,29781292,8.9387,6315,1.41189,3.274772271
0,388131593,9.5035,5739.89,1.2249,1.46727
1,273985865,10.5924,5547,0.823019,0.662427489
1,34068865,8.031941,3536,0.457751,0.033837135
0,278991483,10.402,4818.83,0.656552,0.209411
0,326105628,8.5841,4357,0.655864,0.13966
1,169177766,10.1617,10038,2.09732,46.13219533
1,97158538,8.783341,6852,2.24201,11.44538664
0,381952089,6.8739,6426.95,1.67652,4.32045
1,117979850,7.82829,5801,2.3508,6.464408405
0,370228164,7.5093,7026,1.90884,7.99959
0,188580272,7.57703,3271,0.352224,0.0127954
0,55652825,9.6496,6165,1.1235,1.64274
0,370037722,9.7439,5927,0.969497,1.04503
1,444842193,10.5488,5881,0.972998,1.169807962
0,375222834,7.6134,5818.8,1.26673,1.65728
0,167009292,7.8634,6070,1.53035,2.8644
1,271596418,10.7109,5670.45,1.3689,2.001241538
0,33715210,10.2033,4053,0.6023,0.0881916
1,267489265,9.2293,7880,1.86011,13.78059868
1,93963408,10.0267,10393,1.87739,42.47747275
0,300039099,9.7054,5227,0.830706,0.464087
0,140143053,6.7305,6445,1.08821,1.84081
1,144065872,9.4995,5758,1.23824,1.740933816
0,31742622,9.3699,4901,0.740827,0.285277
0,290654532,10.7098,4186,0.653052,0.117974
1,130924120,9.0498,5335,0.7643,0.48882271
1,425721385,9.7298,6209,1.63378,4.097884847
1,131743355,9.3761,10902,1.72483,43.41134739
0,167308905,11.6286,3562,0.436148,0.0275891
0,38824355,13.018,3235,0.247197,0.00602946
0,389924116,10.7413,5072.26,0.711272,0.301698
1,280210963,14.7971,5715,1.03674,1.184378757
0,35760711,10.8901,3147,0.229101,0.00463805
0,349764112,7.164,6706.97,1.95045,6.93539
1,348538431,13.2304,3330,0.505078,0.032402595
0,219227058,9.1804,4135,0.671262,0.118681
0,316976049,13.0303,3113,0.167348,0.00236948
1,118021229,9.947331,5490,2.0662,4.00608401
0,144251458,9.81468,3506,0.357508,0.0173986
0,300741171,8.9904,6395,1.42509,3.06013
1,41330864,10.381,6220,1.49567,3.458749142
0,118407500,10.1851,3849,0.524247,0.0543448
1,248111245,12.3335,6669,1.68054,5.770673963
1,259389219,11.2486,5753,2.04513,4.73265989
1,399871011,11.0412,6794,1.4456,4.599222386
1,295541511,10.4055,5731,1.02422,1.168945055
0,279088392,8.434,5911,1.05483,1.22378
0,177349362,10.3264,5156.77,0.704741,0.316421
0,341112091,7.3383,6230,1.25964,2.15347
1,188570092,11.3875,4521,0.788876,0.268560091
0,302365080,9.0336,5864.01,0.954039,0.969628
1,81419525,9.5518,11159,1.57895,39.93225408
1,37770169,10.6995,5122,0.840971,0.502812767
0,152537370,8.2252,5378.59,0.885072,0.590644
0,396810588,8.23467,3744,0.513478,0.0466747
0,261398324,8.7058,5503.99,0.833631,0.574583
